,bunker_id,mu,sigma
0,C2-80,0.01867754387396311,0.0
1,C2-70,0.01867754387396311,0.0
2,C2-60,0.01867754387396311,0.0
3,C2-90,0.01867754387396311,0.0
4,C2-10,0.01867754387396311,0.0
5,C2-40,0.01867754387396311,0.0
6,C2-50,0.01867754387396311,0.0
7,C2-20,0.01867754387396311,0.0
8,C1-40,0.01867754387396311,0.0
9,C1-30,0.01867754387396311,0.0
10,C1-20,0.01867754387396311,0.0
11,C1-50,0.01867754387396311,0.0
12,C1-70,0.01867754387396311,0.0
13,C1-80,0.01867754387396311,0.0
14,C1-10,0.01867754387396311,0.0
15,C1-60,0.01867754387396311,0.0